商品名称,商品编码,商品类型,商品卖价,成本价,购买数量,商品总金额,成本总价,发货状态,配送单号,退款编号,退货方式,退款申请金额,退款原因,实际退款金额,退款公司名称,退款单号,实际退款时间,退款拒绝原因,申请退款时间,待结算佣金比率,实际商品购买价,店铺金额,平台金额,退款说明,买家退货说明,退货地址,是否返还库存,订单编号,店铺名称,订单内容,订单来源,订单类型,营销活动类型,支付流水号,支付流水号（多次支付）,整体提货编码,订单状态,支付状态,配送状态,退款状态,支付方式,配送方式,客户姓名,客户手机,客户固定电话,客户地址,客户ip,客户要求配送时间,客户留言信息,配送费用,订单优惠金额,优惠券金额,订单合计金额,订单调整金额,余额支付金额,抵扣之后应付金额,订单退款金额,支付时间,配送时间,签收时间,完成时间,卖家留言,商品件数,是否进行结算,门店名称,营销类型
测试 	,	,实物商品	,10.00	,0.00	,1	,10.00	,0.00	,已收货	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,10.00	,9.50	,0.50	,	,	,	,	,20220311174110001	,测试店铺	,测试 	,微信小程序	,普通订单	,	,20220311174110001	,	,	,已完成	,已支付	,已收货	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.167.230	,	,	,0.00	,0.00	,0.00	,10.00	,0.00	,10.00	,0.00	,0.00	,2022-03-11 17:41:28	,2022-03-11 18:03:26	,2022-03-11 18:03:57	,2022-03-18 18:04:56	,	,1	,是	,	,	
测试 	,	,实物商品	,10.00	,0.00	,4	,40.00	,0.00	,已收货	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,40.00	,38.00	,2.00	,	,	,	,	,20220315094310001	,测试店铺	,测试 	,微信小程序	,普通订单	,	,20220315094310001	,	,	,已完成	,已支付	,已收货	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.167.169	,	,	,0.00	,0.00	,0.00	,40.00	,0.00	,40.00	,0.00	,0.00	,2022-03-15 09:43:26	,2022-03-15 10:01:02	,2022-03-16 10:01:28	,2022-03-16 10:01:28	,	,4	,是	,	,	
测试 	,	,实物商品	,10.00	,0.00	,3	,30.00	,0.00	,已收货	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,30.00	,28.50	,1.50	,	,	,	,	,20220315100310001	,测试店铺	,测试 	,微信小程序	,普通订单	,	,20220315100310001	,	,	,已完成	,已支付	,已收货	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.167.169	,	,	,0.00	,0.00	,0.00	,30.00	,0.00	,30.00	,0.00	,0.00	,2022-03-15 10:03:00	,2022-03-15 10:06:23	,2022-03-16 10:06:29	,2022-03-16 10:07:29	,	,3	,是	,	,	
测试 	,	,实物商品	,10.00	,0.00	,5	,50.00	,0.00	,已收货	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,50.00	,47.50	,2.50	,	,	,	,	,20220315100310002	,测试店铺	,测试 	,微信小程序	,普通订单	,	,20220315100310002	,	,	,已完成	,已支付	,已收货	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.167.169	,	,	,0.00	,0.00	,0.00	,50.00	,0.00	,50.00	,0.00	,0.00	,2022-03-15 10:03:19	,2022-03-15 10:06:16	,2022-03-16 10:06:29	,2022-03-16 10:07:29	,	,5	,是	,	,	
测试 	,	,实物商品	,10.00	,0.00	,7	,70.00	,0.00	,已收货	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,70.00	,66.50	,3.50	,	,	,	,	,20220315100310003	,测试店铺	,测试 	,微信小程序	,普通订单	,	,20220315100310003	,	,	,已完成	,已支付	,已收货	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.167.169	,	,	,0.00	,0.00	,0.00	,70.00	,0.00	,70.00	,0.00	,0.00	,2022-03-15 10:03:36	,2022-03-15 10:06:08	,2022-03-16 10:06:29	,2022-03-16 10:07:29	,	,7	,是	,	,	
测试 	,	,实物商品	,10.00	,0.00	,8	,80.00	,0.00	,已收货	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,80.00	,76.00	,4.00	,	,	,	,	,20220315100310004	,测试店铺	,测试 	,微信小程序	,普通订单	,	,20220315100310004	,	,	,已完成	,已支付	,已收货	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.167.169	,	,	,0.00	,0.00	,0.00	,80.00	,0.00	,80.00	,0.00	,0.00	,2022-03-15 10:03:52	,2022-03-15 10:05:06	,2022-03-16 10:05:29	,2022-03-16 10:06:29	,	,8	,是	,	,	
虚拟商品 	,	,虚拟商品	,80.00	,0.00	,1	,80.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,80.00	,76.00	,4.00	,	,	,	,	,20220315134110001	,测试店铺	,虚拟商品 	,微信小程序	,虚拟订单	,	,20220315134110001	,	,	,已完成	,已支付	,	,	,余额支付	,	,	,18727381157	,	,	,171.113.167.169	,	,	,0.00	,0.00	,0.00	,80.00	,0.00	,80.00	,0.00	,0.00	,2022-03-15 13:41:09	,	,2022-03-15 13:41:10	,2022-03-16 13:41:53	,	,1	,是	,	,	
虚拟商品 	,	,虚拟商品	,80.00	,0.00	,4	,320.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,320.00	,304.00	,16.00	,	,	,	,	,20220315135210001	,测试店铺	,虚拟商品 	,微信小程序	,虚拟订单	,	,20220315135210001	,	,	,已完成	,已支付	,	,	,余额支付	,	,	,18727381157	,	,	,171.113.167.169	,	,	,0.00	,0.00	,0.00	,320.00	,0.00	,320.00	,0.00	,0.00	,2022-03-15 13:52:38	,	,2022-03-15 13:52:38	,2022-03-16 13:52:54	,	,4	,是	,	,	
虚拟商品 	,	,虚拟商品	,80.00	,0.00	,1	,80.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,80.00	,76.00	,4.00	,	,	,	,	,20220315142710001	,测试店铺	,虚拟商品 	,微信小程序	,虚拟订单	,	,20220315142710001	,	,	,已完成	,已支付	,	,	,余额支付	,	,	,18727381157	,	,	,171.113.167.169	,	,	,0.00	,0.00	,0.00	,80.00	,0.00	,80.00	,0.00	,0.00	,2022-03-15 14:27:52	,	,2022-03-15 14:27:53	,2022-03-15 14:28:14	,	,1	,是	,	,	
虚拟商品 	,	,虚拟商品	,80.00	,0.00	,1	,80.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,80.00	,76.00	,4.00	,	,	,	,	,20220317141210001	,测试店铺	,虚拟商品 	,微信小程序	,虚拟订单	,	,20220317141210001	,	,	,已完成	,已支付	,	,	,余额支付	,	,	,18727381157	,	,	,171.83.116.94	,	,	,0.00	,0.00	,0.00	,80.00	,0.00	,80.00	,0.00	,0.00	,2022-03-17 14:12:18	,	,2022-03-17 14:12:18	,2022-03-17 14:12:40	,	,1	,是	,	,	
